newid,Undergrad School,Master's Degree School
527713,Universita Bocconi,Universita Bocconi
745430,State University - Higher School of Economics,State University - Higher School of Economics
606179,Nankai University,Columbia University
892543,Kenyon College,"NA"
490926,Shanghai University Of Finance And Economics,Duke University
404678,Cornell University,"NA"
68128,St. Vincent College,"NA"
605345,Swarthmore College,"NA"
872065,Sharif University of Technology,Sharif University of Technology
489381,Texas State University,"NA"
870573,Ryerson Polytechnic Institute,"NA"
644367,Shanghai Institute Of Foreign Trade,University Of Wisconsin--Madison
753619,Hong Kong University Of Science And Technology,"NA"
799364,New York University,"NA"
358625,INSPER (Institute of Education and Research),UFSCAR
722561,"University Of California, Berkeley",Seoul National University
814528,Open University Of Israel,Tel Aviv University
489061,Instituto Tecnologico Autonomo De Mexico,University of London-London School of Economics & Political Sci
261260,Smith College,"NA"
760947,Renmin University of China,Vanderbilt University
900235,Shri Ram College Of Commerce,University Of Warwick
71832,Yale University,"NA"
409836,University Of Chicago,"NA"
372850,University Of Hong Kong,University College London
762380,Universita Commerciale 'luigi Bocconi',Universita Commerciale 'luigi Bocconi'
552569,Seoul National University,University Of Chicago
724210,National Taiwan University,National Taiwan University
736806,Keio University,University Of Tokyo
354049,Stanford University,Stanford University
746266,"University Of California, Berkeley","NA"
215141,University Of Kansas,"NA"
49797,Georgetown University,University Of Chicago
600433,Princeton University,"NA"
478153,International Christian University,University Of Cambridge
905867,Universidad Carlos Iii De Madrid,"NA"
630534,Huaqiao University,Peking University
102016,Universidad Nacional Autonoma De Mexico,El Colegio De Mexico
924559,University College Utrecht (Utrecht University),University of London-London School of Economics & Political Sci
676231,University Of Minnesota-Morris,Johns Hopkins University
690270,Universidad De Buenos Aires,Universidad De San Andres
856863,Helsinki School Of Econ. & Business Administration,University Of Helsinki
992551,University of St. Andrews,University of London-London School of Economics & Political Sci
220077,Cornell University,"NA"
622453,University Of Arizona,"NA"
838378,University Of Manitoba,"NA"
711496,University Of Chicago,"NA"
263829,Princeton University,"NA"
333497,Hamilton College,"NA"
377181,University Of Massachusetts At Amherst,"NA"
942779,Universidad De Los Andes,Universidad De Los Andes
930026,Universitat Zurich,Stockholm School Of Economics
51672,"NA",New York University
541986,Pontificia Universidad Catolica Del Ecuador,Harvard University
607673,"University Of California, Berkeley","NA"
129946,Xian Jiaotong University,Syracuse University
588416,Occidental College,"NA"
873984,Duke University,"NA"
586686,University of Science and Technology of China,Peking University
693176,Universidad De Costa Rica,Instituto Tecnologico Autonomo de Mexico
995839,Beijing Forestry University,Xi`an Jiaotong University
440267,University Of Pennsylvania,"NA"
180089,Williams College,"NA"
811094,University Of Colorado At Denver,Duke University
75495,University Of Michigan--Ann Arbor,"NA"
261280,University Of Maryland At College Park (umcp),"NA"
623881,Ohio University,"NA"
894549,Peking University,"NA"
209176,Wuhan University,University College London
414528,University of Minnesota-Twin Cities,"NA"
167040,University of Minnesota-Twin Cities,"NA"
234043,Cornell University,"NA"
120345,Saint Louis University,"NA"
538288,Wellesley College,"NA"
5412,Fudan University,Duke University
193047,Oberlin College,"NA"
685853,Duke University,University Of Michigan--Ann Arbor
750398,University Of Wyoming,"NA"
771715,Indiana University Bloomington,"NA"
167071,Universita Bocconi,Universita Bocconi
146762,Pennsylvania State University,"NA"
771698,Seoul National University,"NA"
1764,University Of Hong Kong,"NA"
756523,Brigham Young University,"NA"
490850,Emory University,"NA"
176716,University Of North Carolina At Chapel Hill,"NA"
366996,Wuhan University,Duke University
805633,Mersin University,"NA"
471579,Universidad De Chile,Universidad De Chile
967022,Harvard College,University Of Cambridge-Trinity College
431818,La Trobe University,Tulane University
805601,Brigham Young University,"NA"
120266,Johns Hopkins University,Johns Hopkins University
418351,Brigham Young University,"NA"
276143,University Of Washington,"NA"
769492,Renmin University Of China In Beijing,"NA"
749385,Johns Hopkins University,"NA"
575122,Korea University,Korea Advanced Institute Of Science And Technology
56215,University Of Notre Dame,"NA"
639631,University Of Rochester,"NA"
678664,University Of Tokyo,University Of Chicago
823666,Michigan State University,"NA"
985740,Brigham Young University,"NA"
873529,Pennsylvania State University,"NA"
221837,Harvey Mudd College,"NA"
752506,Creighton University,"NA"
8949,Yale University,"NA"
880625,University Of Science And Technology Beijing,Peking University
673331,Massachusetts Institute of Technology,"NA"
734082,Tsinghua University,Stanford University
952382,St. Mary's College Of Maryland,"NA"
457880,California Institute Of Technology,"NA"
812217,Tsinghua University,"NA"
239725,Peking University,University of Minnesota-Twin Cities
897218,Columbia University,"NA"
133951,"Long Island University, C. W. Post Center","NA"
716960,Tsinghua University,"NA"
411391,University Of London-University College,University of London-London School of Economics & Political Sci
40062,University Of Durham,University Of Durham
449761,Athens School Of Economic And Business Sciences,Yale University
404228,Ohio State University,"NA"
493828,Universita Bocconi,London School of Economics
705856,University Of South Florida,Florida Atlantic University
19510,Boston University,Boston University
290161,University Of Central Florida,"NA"
328305,"University Of California, Los Angeles","California State University, Long Beach"
717006,Brigham Young University,"NA"
317738,University Of Mannheim,Boston University
51044,Virginia Polytechnic Institute and State University,"NA"
816458,National Taiwan University,"NA"
118990,Instituto Tecnologico Autonomo de Mexico,Instituto Tecnologico Autonomo de Mexico
201361,College Of William And Mary In Virginia,"NA"
73621,Tsinghua University,"NA"
359126,University Of Kerala,Centre for Development Studies
458234,Princeton University,"NA"
398628,Brown University,"NA"
346126,Tsinghua University,Tsinghua University
472828,Trinity College,Universita Commerciale 'luigi Bocconi'
445011,"California State University, Fullerton","NA"
591633,Queen's University,"NA"
2192,Virginia Commonwealth University,"NA"
311946,Sharif University Of Technology,Sharif University Of Technology
996856,Suffolk University,Suffolk University
210426,Universidad De Chile,Universidad De Chile
706213,"University Of California, Berkeley","NA"
318600,Escola Politecnica da Universidade de Sao Paulo,University Of Sao Paulo
187658,Calvin College,"NA"
849428,Brown University,New York University
74796,Stanford University,"NA"
503996,Universidad Cristobal Colon,Centro De Investigacion Y Docenias Economicas
884638,University of Illinois at Urbana-Champaign,University Of Cambridge
692586,Mount Holyoke College,"NA"
41716,"University Of California, Berkeley",Harvard University
683553,University Of Hong Kong,New York University
730987,Princeton University,"NA"
381600,Soka University of America,Columbia University
335949,Humboldt University of Berlin,Humboldt University of Berlin
780011,Union College,"NA"
332091,Kansas State University,University Of Southern California
363560,Universita Degli Studi Di Modena,Katholieke Universiteit Leuven
883602,Dartmouth College,"NA"
58836,Northwestern University,"NA"
122277,MS Ramaiah institute Of Technology,"NA"
762903,College Of William And Mary In Virginia,"NA"
342383,University Of Chicago,"NA"
419162,Stanford University,DePaul University
568236,Brandeis University,"NA"
470313,Georgetown University,University Of Chicago
629939,Fudan University,"NA"
610286,Shanghai International Studies University,Osaka University
211898,Sciences Po: Institut D'etudes Politiques de Paris,Institut D'etudes Politiques
438472,Universita Bocconi,Universite Catholique de Louvain
17394,"NA",University Of Cambridge-Trinity College
867073,University Of Indonesia,Washington State University
