newid,Undergrad School,Master's Degree School
629087,Cornell University,"NA"
94382,"University Of California, Berkeley","NA"
511968,Massachusetts Institute of Technology,"NA"
202582,University Of Texas At Austin,"NA"
420784,"University Of California, Los Angeles",University Of Michigan--Ann Arbor
812968,"University Of California, Los Angeles",University Of Chicago
284265,Sophia University,University Of Tokyo
554517,Davidson College,"NA"
755940,Westminster College,"NA"
32710,University Of Delhi,University of London-London School of Economics & Political Sci
803709,Brown University,Boston University
642235,Koc University,Koc University
779161,Open University of Israel,Tel Aviv University
209063,Ecole Normale Superieure D'ulm,Ecole Nationale de la Statistique et de l'Admin Economique
186056,Centro De Investigacion Y Docenias Economicas,"NA"
639253,Harvard University,London School of Economics
893513,Tsinghua University,"NA"
671745,Thammasat University,University Of Durham
772340,University of Minnesota-Twin Cities,"NA"
709786,Delhi University,TERI University
479843,Brown University,"NA"
276514,Instituto Tecnologico Autonomo de Mexico,Instituto Tecnologico Autonomo de Mexico
190295,"University Of California, Berkeley","NA"
531612,Ohio State University,Ohio State University
678625,Stanford University,Stanford University
706219,Universite De Toulouse-Le-Mirail (toulouse Ii),University of London-London School of Economics & Political Sci
599393,National Chengchi University,"NA"
923933,McGill University,University of London-London School of Economics & Political Sci
537100,Pontificia Universidad Catolica De Chile,Pontificia Universidad Catolica De Chile
621128,Korea University,"NA"
885729,Vassar College,"NA"
701977,National Taiwan University,Columbia University
136067,Michigan State University,"NA"
412429,Universidad Del Pais Vasco,Centro De Estudios Monetarios Y Financieros
23974,University Of Virginia,"NA"
109070,University Of Michigan--Ann Arbor,"NA"
789552,Central University Of Finance And Economics,Boston University
995237,"NA",Illinois State University
849366,Ohio Wesleyan University,"NA"
171637,Universidad De Costa Rica,Centro De Estudios Monetarios Y Financieros
425671,University Of Oregon,"NA"
224759,University Of Oxford-Pembroke College,"NA"
817542,Queen's University,University Of Toronto
249366,Harvard University,"NA"
582720,Shri Ram College Of Commerce,University Of Oxford
878963,Yonsei University,Columbia University
215198,University Of Michigan--Ann Arbor,"NA"
632068,University Of Queensland,"NA"
252975,Instituto Tecnologico Autonomo de Mexico,Instituto Tecnologico Autonomo de Mexico
488012,University Of Chicago,University of London-London School of Economics & Political Sci
274300,University Of North Carolina At Chapel Hill,"NA"
75650,Ben-Gurion University Of The Negev,Ben-Gurion University Of The Negev
971151,Princeton University,"NA"
116733,University Of Brasilia,Pontificia Universidade Catolica Do Rio De Janeiro
844393,Knox College,"NA"
151636,Universita Degli Studi Di Torino,Collegio Carlo Alberto
75759,Lanzhou University,Boston University
556793,George Mason University,"NA"
120307,Cornell University,"NA"
446869,University Of Chicago,"NA"
334711,Brigham Young University,"NA"
610384,Peking University,"NA"
316419,Pomona College,University Of Southern California
922630,University Of Warwick,University of London-London School of Economics & Political Sci
154017,Tsinghua University,"NA"
947727,Tsinghua University,Yale University
891521,Tufts University,Tufts University
296775,Duke University,Harvard University
690656,University Of Tokyo,University Of Tokyo
928416,"University Of California, Los Angeles","NA"
243414,Hong Kong University Of Science And Technology,"NA"
606841,Universita Degli Studi Di Napoli,Universita Degli Studi Di Napoli
271685,Rice University,"NA"
196647,University Of Wisconsin-Madison,"NA"
563200,"University Of California, Berkeley","NA"
848472,Washington University in St. Louis,"NA"
310529,Instituto Tecnologico Autonomo De Mexico,"NA"
170506,University Of Massachusetts At Boston,"NA"
70965,"Imperial College Of Science, Technology & Medicine",Columbia University
389900,Lycee louis Le Grand,Ecole Polytechnique
400827,Universita Degli Studi Di Milano,Universita Commerciale 'luigi Bocconi'
750220,City University Of New York,University Of Chicago
300524,VIT University (Vellore Institute of Technology),"NA"
930535,Wuhan University,University of London-London School of Economics & Political Sci
842811,Jilin University,"NA"
18263,Boston University,"NA"
194066,Peking University,"NA"
363209,University Of Washington,"NA"
140465,Quinnipiac College,"NA"
639567,Foreign Trade University,"California State University, Hayward"
183918,Sharif University Of Technology,Sharif University Of Technology
695599,Tsinghua University,"NA"
422024,"University Of California, Berkeley",University College London
232973,National Research University Higher School of Economics,University Of Warwick
778290,Beloit College,"NA"
934257,Princeton University,"NA"
528485,Plymouth State University,"NA"
355757,University Of Western Ontario,University of London-London School of Economics & Political Sci
840583,Pomona College,"NA"
427123,University Of Pennsylvania,Vrije Universiteit Brussel
873826,Australian National University,"NA"
179887,Pontificia Universidad Javeriana Cali,Universidad De Los Andes
958127,Mount Holyoke College,"NA"
237584,Martin Luther University,Stockholm School Of Economics
