,newid,Undergrad School,Undergrad School_updated,Master's Degree School,Master's Degree School_updated
919,752472,University Of The Phillippines,Adventist University of the Philippines,University Of The Phillippines,Adventist University of the Philippines
920,445840,Boise State University,Boise State University,,
921,225939,Koc University,Koc University,University Of Wisconsin-Madison,University of Wisconsin - Madison
922,41705,Hamilton College,Hamilton College,,
923,239391,William Marsh Rice University,Rice University,,
924,229269,Stanford University,Stanford University,Stanford University,Stanford University
925,770791,Swarthmore College,Swarthmore College,,
926,932194,Duke University,Duke University,,
927,458742,North Central College,North Central College,Roosevelt University,Roosevelt University
928,87887,Illinois College,Illinois College,,
929,681124,University Of British Columbia,University of British Columbia,University Of Guelph,University of Guelph
930,161714,Shandong University,Shandong University,University Of Hong Kong,University of Hong Kong
931,817518,Swarthmore College,Swarthmore College,,
932,177601,Brigham Young University,Brigham Young University,,
933,852071,Southwest University Of Finance & Economics,Southwest University of Finance and Economics,University Of Tokyo,University of Tokyo
934,864352,University Of Wisconsin--Madison,University of Wisconsin - Madison,,
935,839365,University of Macau,University of Macau,People's University Of China,People's University Of China
936,736280,Luiss Guido Carli University,Luiss Guido Carli University,Luiss Guido Carli University,Luiss Guido Carli University
937,678092,University of British Columbia,University of British Columbia,McGill University,McGill University
938,443630,University Of Chicago,University of Chicago,,
939,628927,University Of Chicago,University of Chicago,,
940,303779,Cornell University,Cornell University,,
941,700763,"University Of California, Santa Barbara","University of California, Santa Barbara",,
942,185190,University Of York,University of York,,
943,836426,Simon Fraser University,Simon Fraser University,,
944,319794,Shanghai University Of Finance And Economics,Shanghai University of Finance and Economics,University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci
945,200449,Instituto Tecnologico Autonomo de Mexico,Instituto Tecnológico Autonómo de México,,
946,823391,Wellesley College,Wellesley College,,
947,137166,University Of Minnesota--Minneapolis-St. Paul,University of Minnesota,,
948,860559,University Of Missouri--Columbia,University of Missouri - Columbia,,
949,943817,Washington University in St. Louis,Washington University in St. Louis,,
950,369158,University Of Oxford-Lincoln College,University of Oxford - Lincoln College,University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci
951,344106,Boston University,Boston University,"Imperial College Of Science, Technology & Medicine",Imperial College London
952,995457,Universidade Federal Do Rio Grande Do Sul,Universidade Federal do Rio Grande do Sul,"Graduate School Of Economics, Getulio Vargas Fndn.",EPGE Brazilian School of Economics and Finance
953,53954,University of Melbourne,University of Melbourne,,
954,211812,National Taiwan University,National Taiwan University,,
955,709941,University Of Maryland At College Park,University of Maryland - College Park,,
956,12290,University Of Chicago,University of Chicago,"Hunter College, City University Of New York",City University of New York - Hunter College
957,213744,Instituto Tecnologico y de Estudios Superiores de Monterrey,Tecnológico de Monterrey,Bergische Universitaet Wuppertal,Kirchliche Hochschule Wuppertal
958,528618,Fudan University,Fudan University,Columbia University,Columbia University
959,60087,Renmin University of China,Renmin University of China,New York University,New York University
960,451460,Peking University,Peking University,Columbia University,Columbia University
961,650689,Canisius College,Canisius College,State University Of New York At Buffalo,State University of New York at Buffalo
962,737899,Florida State University,Florida State University,,
963,230772,Duke University,Duke University,Princeton University,Princeton University
964,340311,University Of Georgia,University of Georgia,University Of Georgia,University of Georgia
965,444136,Warsaw School Of Economics,Warsaw School of Economics,Warsaw School Of Economics,Warsaw School of Economics
966,760805,Furman University,Furman University,,
967,9118,Universidade Tecnica De Lisboa,Universidade Tecnica de Lisboa,University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci
968,671360,"University Of California, Los Angeles","University of California, Los Angeles","University Of California, Los Angeles","University of California, Los Angeles"
969,587959,University Of Southern California,University of Southern California,,
970,563741,Michigan State University,Michigan State University,,
971,407467,College Of William And Mary In Virginia,College of William and Mary,,
972,867422,Shanghai University Of Finance And Economics,Shanghai University of Finance and Economics,People's University Of China,People's University Of China
973,617027,Instituto TecnolÃ³gico AutÃ³nomo de Mexico,Instituto Tecnológico Autonómo de México,University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci
974,158027,The University of Hong Kong,University of Hong Kong,Boston University,Boston University
975,725077,,,,
976,618999,University Of Rochester,University of Rochester,,
977,251046,Peking University,Peking University,Peking University,Peking University
978,315854,"University Of California, Berkeley","University of California, Berkeley",,
979,592771,Universite Pierre Et Marie Curie (paris Vi),Université Pierre et Marie Curie (Paris VI),Ecole Centrale De Paris,Ecole Centrale De Paris
980,350329,Korea University,Korea University,University Of Chicago,University of Chicago
981,104674,University Of Auckland,University of Auckland,University Of Auckland,University of Auckland
982,803061,University of Minnesota-Twin Cities,University of Minnesota,,
983,744053,University of Prishtina,University of Priština,Central European University,Central European University
984,552633,Eidgenossische Technische Hochschule Zurich,"Swiss Federal Institute of Technology, Zurich",University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci
