,newid,Undergrad School,Undergrad School_updated,Master's Degree School,Master's Degree School_updated
1352,867120,Middle East Technical University,Middle East Technical University,Bilkent University,Bilkent University
1353,405005,University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci,University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci
1354,321070,University Of Maryland At College Park (umcp),University of Maryland - College Park Umcp,,
1355,793265,Shri Ram College Of Commerce,Shri Ram College Of Commerce,University Of Delhi,University of Delhi
1356,491754,"University Of Michigan, Ann Arbor",University of Michigan,,
1357,710418,Sung Kyun Kwan University,Sung Kyun Kwan University,,
1358,98771,Seoul National University,Seoul National University,University Of Chicago,University of Chicago
1359,142292,Pomona College,Pomona College,,
1360,466150,Universita Cattolica Del Sacro Cuore,Catholic University of the Sacred Heart,Barcelona Graduate School of Economics,Barcelona Graduate School of Economics
1361,355289,Fudan University,Fudan University,Duke University,Duke University
1362,733646,Luiss Guido Carli University,Luiss Guido Carli University,Universita Commerciale 'Luigi Bocconi',University of Commerce Luigi Bocconi
1363,677506,University Of Texas At Austin,University of Texas,,
1364,872105,University Of Warwick,University of Warwick,,
1365,628605,Carnegie Mellon University,Carnegie Mellon University,,
1366,395309,,,Universidad Pompeu Fabra,Universitat Pompeu Fabra
1367,347865,Universiteit Maastricht,University of Maastricht,Universiteit Maastricht,University of Maastricht
1368,82727,University Of Manchester,University of Manchester,,
1369,957011,Texas State University,Texas State University,,
1370,710377,Universita Degli Studi Roma Tre,Third University of Rome,Universita degli Studi di Roma Tor Vergata (CIES),Università degli Studi di Roma Tor Vergata (CIES)
1371,994423,Amherst College,Amherst College,,
1372,458635,National Taiwan University,National Taiwan University,National Taiwan University,National Taiwan University
1373,462153,College Of William And Mary In Virginia,College of William and Mary,,
1374,846017,Universite De Lausanne,University of Lausanne,Universite De Lausanne,University of Lausanne
1375,917136,"University Of California, Berkeley","University of California, Berkeley",,
1376,307681,Soka Univeristy of America,Soka University of America,,
1377,168424,Fudan University,Fudan University,Stanford University,Stanford University
1378,329941,"University Of California, Berkeley","University of California, Berkeley",,
1379,242461,National Research University Higher School of Economics,Higher School of Economics,New Economic School,New Economic School
1380,122876,University Of Bergen,University of Bergen,,
1381,919840,University Of Michigan--Ann Arbor,University of Michigan,,
1382,395742,,,Ecole Centrale De Paris,Ecole Centrale De Paris
1383,99359,George Washington University,George Washington University,,
1384,215330,Mcmaster University,McMaster University,,
1385,769033,Korea University,Korea University,,
1386,278246,Washington University in St. Louis,Washington University in St. Louis,,
1387,32122,Middle East Technical University,Middle East Technical University,Bilkent University,Bilkent University
1388,833033,University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci,University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci
1389,203622,Zhejiang University,Zhejiang University,Tulane University,The Tulane University of New Orleans
1390,127139,Columbia University,Columbia University,,
1391,645796,Seoul National University,Seoul National University,University Of Chicago,University of Chicago
1392,198569,Nanyang Technological University,Nanyang Technological University,,
1393,104339,Pennsylvania State University,Pennsylvania State University,,
1394,368551,Columbia University,Columbia University,,
1395,512351,Clemson University,Clemson University,Clemson University,Clemson University
1396,960108,Seoul National University,Seoul National University,Seoul National University,Seoul National University
1397,666645,Central University Of Finance And Economics,Central University of Finance and Economics,University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci
1398,983589,Tsinghua University,Tsinghua University,,
1399,109326,University Of Wyoming,University of Wyoming,University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci
1400,491474,Princeton University,Princeton University,,
1401,582651,Harvard College,Harvard University - College,,
1402,436880,Universite De Lausanne,University of Lausanne,Universite De Lausanne,University of Lausanne
1403,982553,New York University,New York University,,
1404,721678,INSPER (Institute of Education and Research),Insper Institute of Education and Research,Instituto De Matematica Pura E Aplicada,Instituto Nacional de Matemática Pura e Aplicada - IMPA
1405,809112,University Of Hong Kong,University of Hong Kong,"University Of California, Los Angeles","University of California, Los Angeles"
1406,36313,Princeton University,Princeton University,,
1407,15289,Dartmouth College,Dartmouth College,,
1408,40483,Central University Of Finance And Economics,Central University of Finance and Economics,Peking University,Peking University
1409,723942,Imperial College London,Imperial College London,Paris School of Economics,Warsaw School of Economics
1410,227956,Stanford University,Stanford University,,
1411,821842,New York University,New York University,,
1412,67185,Cornell University,Cornell University,,
1413,558694,National Research University Higher School of Economics,Higher School of Economics,,
1414,404738,"University Of California, Los Angeles","University of California, Los Angeles",University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci
1415,506084,Yonsei University,Yonsei University,Yonsei University,Yonsei University
1416,644362,Universidad Del Pacifico,Universidad del Pacifico,Pontificia Universidad Catolica Del Peru,Pontificia Universidad Católica del Perú
1417,9093,Universidad Catolica Andres Bello,Universidad Católica Andres Bello,University Of Chicago,University of Chicago
1418,166549,Australian National University,Australian National University,,
1419,134170,Huhhot,Inner Mongolia University,Peking University,Peking University
1420,485850,Michigan State University,Michigan State University,,
1421,454496,University Of Texas At Austin,University of Texas,,
1422,997466,University Of Hong Kong,University of Hong Kong,Universite Des Sciences Sociales (toulouse I),Université des Sciences Sociales (Toulouse I)
1423,944298,Universita Degli Studi di Pisa,University of Pisa,Universita Degli Studi di Pisa,University of Pisa
1424,429107,Vanguard University,Vanguard University of Southern California,Azusa Pacific University,Azusa Pacific University
1425,656052,Michigan State University,Michigan State University,,
1426,597649,Universidad De Concepcion,Universidad de Concepcion,,
1427,900083,Universidad De Los Andes,Universidad de Los Andes,Universidad De Los Andes,Universidad de Los Andes
1428,269129,Yale University,Yale University,,
1429,739299,University Of New South Wales,University of New South Wales,,
1430,280414,Seoul National University,Seoul National University,Seoul National University,Seoul National University
1431,33106,Jadavpur University,Jadavpur University,Jadavpur University,Jadavpur University
1432,153069,Temple University,Temple University,Temple University,Temple University
1433,249412,University of Calgary,University of Calgary,,
1434,582255,University Of Nigeria,University of Nigeria,University Of Warwick,University of Warwick
1435,188535,Yale University,Yale University,,
1436,963813,Washington University in St. Louis,Washington University in St. Louis,,
1437,157205,University Of British Columbia,University of British Columbia,,
1438,185379,Georgetown University,Georgetown University,,
1439,671943,University of Melbourne,University of Melbourne,,
1440,737767,Mount Holyoke College,Mount Holyoke College,,
1441,892843,Dartmouth College,Dartmouth College,,
1442,819891,University Of Chicago,University of Chicago,,
1443,476017,Covenant College,Covenant College,,
1444,772310,Universita Degli Studi Di Firenze,University of Florence,Universita Commerciale 'luigi Bocconi',University of Commerce Luigi Bocconi
1445,486657,Warsaw School Of Economics,Warsaw School of Economics,University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci
1446,97313,University Of Nebraska--Lincoln,University of Nebraska - Lincoln,University Of Nebraska--Lincoln,University of Nebraska - Lincoln
1447,660152,Stanford University,Stanford University,Stanford University,Stanford University
1448,695308,"University Of California, Berkeley","University of California, Berkeley",,
1449,419698,Institut D'etudes Politiques,Institut d'Etudes Politiques de Bordeaux,Institut D'etudes Politiques,Institut d'Etudes Politiques de Bordeaux
1450,498089,Cornell University,Cornell University,,
1451,542154,George Mason University,George Mason University,,
1452,136429,National Chung Hsing University,"National Chung Hsing University, Taichung",National Tsing Hua University,National Tsinghua University
1453,485677,Swarthmore College,Swarthmore College,,
1454,230632,Brown University,Brown University,,
1455,882855,Universidad Nacional Mayor De San Marcos,Universidad Nacional Mayor de San Marcos,Instituto TecnÃ³logico de MÃ©xico (ITAM),Instituto Tecnológico Autonómo de México
1456,719050,Oporto University,Oporto University,Universidad Pompeu Fabra,Universitat Pompeu Fabra
1457,410770,Columbia University,Columbia University,,
1458,442240,Rheinische Friedrich-Wilhelms-Universitat Bonn,Rheinische Friedrich-Wilhelms Universität Bonn,,
1459,678234,Norges Handelshoyskole,Norwegian School of Economics and Business Administration,Duke University,Duke University
1460,640028,University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci,University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci
1461,218281,East China University of Science and Technology,East China University of Science and Technology,University Of Texas At Dallas,University of Texas at Dallas
1462,609653,University Of Melbourne,University of Melbourne,Universidad Pompeu Fabra,Universitat Pompeu Fabra
1463,230958,Lebanese American University,Lebanese American University,Lebanese American University,Lebanese American University
1464,768694,"Graduate School Of Economics, Getulio Vargas Fndn.",EPGE Brazilian School of Economics and Finance,"Graduate School Of Economics, Getulio Vargas Fndn.",EPGE Brazilian School of Economics and Finance
1465,900568,University Of Chicago,University of Chicago,,
1466,541906,University of Cambridge,University of Cambridge,Harvard University,Harvard University
1467,454840,Boston University,Boston University,Boston University,Boston University
1468,430406,National Taiwan University,National Taiwan University,University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci
1469,366595,Trent University,Trent University,,
1470,798158,,,University Of Oslo,University of Oslo
1471,249483,Zhejiang Gongshang University,Zhejiang Gongshang University,Peking University,Peking University
1472,466725,University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign,Arizona State University,Arizona State University
1473,151115,University of London,University of London,,
1474,317301,,,State University - Higher School of Economics,Higher School of Economics
1475,3725,Pomona College,Pomona College,,
1476,662127,Renmin University Of China In Beijing,Renmin University of China,Peking University,Peking University
1477,42122,Universidade Federal do Rio de Janeiro,Universidade Federal do Rio de Janeiro,,
1478,372984,Instituto Torcuato Di Tella,Universidad Torcuato di Tella,Instituto Torcuato Di Tella,Universidad Torcuato di Tella
1479,205300,Johns Hopkins University,Johns Hopkins University,,
1480,836821,Fudan University,Fudan University,Universita Commerciale 'luigi Bocconi',University of Commerce Luigi Bocconi
1481,738401,Oberlin College,Oberlin College,,
1482,389429,"Rutgers, The State Univerisity of New Jersey-New Brunswick",Rutgers University,,
1483,905849,Cornell University,Cornell University,,
1484,167181,Tsinghua University,Tsinghua University,,
1485,961622,National Research University Higher School of Economics,Higher School of Economics,University Of Warwick,University of Warwick
1486,514625,Renmin University Of China In Beijing,Renmin University of China,,
1487,568795,Southwest University Of Finance & Economics,Southwest University of Finance and Economics,University Of Chicago,University of Chicago
1488,524727,University Of Miami,University of Miami,,
1489,786754,Brigham Young University,Brigham Young University,Brigham Young University,Brigham Young University
1490,676591,Hanyang University,Hanyang University,University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci
1491,839821,Hebrew University Of Jerusalem,Hebrew University of Jerusalem,Hebrew University Of Jerusalem,Hebrew University of Jerusalem
1492,813651,Boston University,Boston University,,
1493,632506,Instituto Tecnologico y de Estudios Superiores de Monterrey,Tecnológico de Monterrey,"Rutgers, The State University Of New Jersey",Rutgers University
1494,401814,Sharif University of Technology,Sharif University of Technology,Tufts University,Tufts University
1495,507960,University Of Rochester,University of Rochester,,
1496,463527,Swarthmore College,Swarthmore College,,
1497,368425,Universitat Wien,Universität Vienna,Institute for Advanced Studies,Dublin Institute for Advanced Studies
1498,950824,Johann Wolfgang Goethe-Universitat Frankfurt,Johann Wolfgang Goethe Universität Frankfurt am Main,Barcelona Graduate School of Economics,Barcelona Graduate School of Economics
1499,418157,Renmin University of China,Renmin University of China,Institute Of Social Studies,Institute of Social Studies
1500,667085,"University Of California, Berkeley","University of California, Berkeley",,
1501,898567,Peking University,Peking University,Peking University,Peking University
1502,438296,University Of Mannheim,Universität Mannheim,University Of North Carolina At Charlotte,University of North Carolina at Charlotte
1503,388986,University Of Minnesota--Minneapolis-St. Paul,University of Minnesota,,
1504,942122,Siena College,Siena College,University Of Kent At Canterbury,University of Kent
1505,313512,Seoul National University,Seoul National University,Seoul National University,Seoul National University
1506,96263,National Economics University,Hanoi National Economics University,University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci
1507,82456,Ferdowsi University of Mashhad,Ferdowsi University of Mashhad,Ferdowsi University of Mashhad,Ferdowsi University of Mashhad
1508,817726,Universidade Nova De Lisboa,Universidade Nova de Lisboa,Universidade Nova De Lisboa,Universidade Nova de Lisboa
1509,147073,Simon Fraser University,Simon Fraser University,,
1510,224341,University Of Kansas,University of Kansas,,
1511,205423,University Of Michigan--Ann Arbor,University of Michigan,,
1512,383970,University of Minnesota-Twin Cities,University of Minnesota,,
1513,423132,University Of Sydney,University of Sydney,,
1514,367564,Shanghai Jiao Tong University,Shanghai Jiaotong University,San Francisco State University,San Francisco State University
1515,99708,Brigham Young University,Brigham Young University,,
1516,303679,University Of Melbourne,University of Melbourne,,
1517,379154,Northwestern University,Northwestern University,,
1518,353980,Tsinghua University,Tsinghua University,,
1519,169154,Tsinghua University,Tsinghua University,,
1520,256962,,,University of Oulu,University of Oulu
1521,614552,Vassar College,Vassar College,,
1522,668046,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University
1523,10337,Saint Louis University,Saint Louis University,,
1524,555826,Southern Illinois University--Edwardsville,Southern Illinois University at Edwardsville,,
1525,405214,Yonsei University,Yonsei University,Yonsei University,Yonsei University
1526,274570,Seoul National University,Seoul National University,,
1527,562859,Vassar College,Vassar College,,
1528,706278,University Of Chicago,University of Chicago,New York University School of Law,New York University - School Of Law
1529,279965,University Of Bayreuth,Universität Bayreuth,,
1530,376852,University of Bristol,University of Bristol,University College London,University College London
1531,298573,Sophia College for Women,Sophia College for Women,University Of Leicester,University of Leicester
1532,899626,Wellesley College,Wellesley College,,
1533,540033,Institut D'etudes Politiques,Institut d'Etudes Politiques de Bordeaux,Institut D'etudes Politiques,Institut d'Etudes Politiques de Bordeaux
1534,795292,Birla Institute Of Technology & Science,Birla Institute of Technology and Science,,
1535,112513,Vanderbilt University,Vanderbilt University,,
1536,31317,University Of Houston--University Park,University of Houston,University Of Wisconsin- Madison,University of Wisconsin - Madison
1537,232241,universidad de los andes,Universidad de Los Andes,Universidad Alberto Hurtado,Universidad Alberto Hurtado
1538,403777,University Of Chicago,University of Chicago,,
1539,252317,Universidad Nacional De Cordoba,Universidad Nacional de Córdoba,Universidad Torcuato Di Tella,Universidad Torcuato di Tella
1540,307904,Fudan University,Fudan University,Duke University,Duke University
1541,85715,Seoul National University,Seoul National University,Georgia State University,Georgia State University
1542,207067,Columbia University,Columbia University,,
1543,453771,New York University,New York University,Johns Hopkins Univ. Paul H. Nitze School of Adv. Int'l Studies,Johns Hopkins University - School Of Advanced International Studies
1544,568935,Columbia University,Columbia University,,
1545,430903,Ohio State University,Ohio State University,,
1546,670371,Thammasat University,Thammasat University,,
1547,393978,"University Of California, Los Angeles","University of California, Los Angeles",,
1548,745089,University Of Pennsylvania,University of Pennsylvania,University Of Pennsylvania,University of Pennsylvania
1549,490667,Sabanci University,Sabanci University,University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci
1550,165956,University Of St Andrews,University of St. Andrews,,
1551,464332,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University
1552,221535,University Of Nebraska,University of Nebraska - Lincoln,,
1553,995831,University Of Kentucky,University of Kentucky,,
1554,494310,Escola De Administracao De Empresas De Sao Paulo,Escola De Administracao De Empresas De Sao Paulo,University of York,University of York
1555,497513,Universidade De Brasilia,Universidade de Brasília,"Graduate School Of Economics, Getulio Vargas Fndn.",EPGE Brazilian School of Economics and Finance
1556,848408,University College London,University College London,University Of Cambridge,University of Cambridge
1557,42127,Peking University,Peking University,Peking University,Peking University
1558,558022,Universidad De Chile,Universidad de Chile,Universidad De Chile,Universidad de Chile
1559,724281,University Of Bergen,University of Bergen,University Of Oslo,University of Oslo
1560,258034,People's University Of China,People's University Of China,People's University Of China,People's University Of China
1561,921713,Indian Institute of Technology Delhi,"Indian Institute of Technology, Delhi",University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci
1562,946913,National Taiwan University,National Taiwan University,Johns Hopkins University,Johns Hopkins University
1563,175085,"University Of California, Berkeley","University of California, Berkeley",,
1564,448971,Jilin University,Jilin University,University Of Wyoming,University of Wyoming
1565,8370,University Of South Carolina,University of South Carolina,University Of South Carolina,University of South Carolina
1566,205612,University Of Chicago,University of Chicago,,
1567,528142,McGill University,McGill University,University Of Toronto Schools,University of Toronto - Schools
1568,173443,Duke University,Duke University,,
1569,878869,,,"Imperial College Of Science, Technology & Medicine",Imperial College London
1570,661671,University Of Wisconsin-Madison,University of Wisconsin - Madison,,
1571,556125,Monash University,Monash University,,
1572,107403,Universita Commerciale 'luigi Bocconi',University of Commerce Luigi Bocconi,Universita Commerciale 'luigi Bocconi',University of Commerce Luigi Bocconi
1573,109797,Wesleyan University,Wesleyan University,,
1574,527713,Universita Bocconi,Università Bocconi,Universita Bocconi,Università Bocconi
1575,745430,State University - Higher School of Economics,Higher School of Economics,State University - Higher School of Economics,Higher School of Economics
1576,606179,Nankai University,Nankai University,Columbia University,Columbia University
1577,892543,Kenyon College,Kenyon College,,
1578,490926,Shanghai University Of Finance And Economics,Shanghai University of Finance and Economics,Duke University,Duke University
1579,404678,Cornell University,Cornell University,,
1580,68128,St. Vincent College,St. Vincent College,,
1581,605345,Swarthmore College,Swarthmore College,,
1582,872065,Sharif University of Technology,Sharif University of Technology,Sharif University of Technology,Sharif University of Technology
1583,489381,Texas State University,Texas State University,,
1584,870573,Ryerson Polytechnic Institute,Ryerson Polytechnic Institute,,
1585,644367,Shanghai Institute Of Foreign Trade,Shanghai Institue of Foreign Trade,University Of Wisconsin--Madison,University of Wisconsin - Madison
1586,753619,Hong Kong University Of Science And Technology,Hong Kong University of Science and Technology,,
1587,799364,New York University,New York University,,
1588,358625,INSPER (Institute of Education and Research),Insper Institute of Education and Research,UFSCAR,Universidade Federal de São Carlos
1589,722561,"University Of California, Berkeley","University of California, Berkeley",Seoul National University,Seoul National University
1590,814528,Open University Of Israel,Open University of Israel,Tel Aviv University,Tel Aviv University
1591,489061,Instituto Tecnologico Autonomo De Mexico,Instituto Tecnológico Autonómo de México,University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci
1592,261260,Smith College,Smith College,,
1593,760947,Renmin University of China,Renmin University of China,Vanderbilt University,Vanderbilt University
1594,900235,Shri Ram College Of Commerce,Shri Ram College Of Commerce,University Of Warwick,University of Warwick
1595,71832,Yale University,Yale University,,
1596,409836,University Of Chicago,University of Chicago,,
1597,372850,University Of Hong Kong,University of Hong Kong,University College London,University College London
1598,762380,Universita Commerciale 'luigi Bocconi',University of Commerce Luigi Bocconi,Universita Commerciale 'luigi Bocconi',University of Commerce Luigi Bocconi
1599,552569,Seoul National University,Seoul National University,University Of Chicago,University of Chicago
1600,724210,National Taiwan University,National Taiwan University,National Taiwan University,National Taiwan University
1601,736806,Keio University,Keio University,University Of Tokyo,University of Tokyo
1602,354049,Stanford University,Stanford University,Stanford University,Stanford University
1603,746266,"University Of California, Berkeley","University of California, Berkeley",,
1604,215141,University Of Kansas,University of Kansas,,
1605,49797,Georgetown University,Georgetown University,University Of Chicago,University of Chicago
1606,600433,Princeton University,Princeton University,,
1607,478153,International Christian University,International Christian University,University Of Cambridge,University of Cambridge
1608,905867,Universidad Carlos Iii De Madrid,Universidad Carlos III de Madrid,,
1609,630534,Huaqiao University,Huaqiao University Quanzhuo,Peking University,Peking University
1610,102016,Universidad Nacional Autonoma De Mexico,Universidad Nacional Autónoma de México,El Colegio De Mexico,El Colegio de México
1611,924559,University College Utrecht (Utrecht University),Utrecht University - University College Utrecht,University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci
1612,676231,University Of Minnesota-Morris,University of Minnesota - Morris,Johns Hopkins University,Johns Hopkins University
1613,690270,Universidad De Buenos Aires,Universidad de Buenos Aires,Universidad De San Andres,Universidad de San Andres
1614,856863,Helsinki School Of Econ. & Business Administration,Helsinki School of Economics and Business Administration,University Of Helsinki,University of Helsinki
1615,992551,University of St. Andrews,University of St. Andrews,University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci
1616,220077,Cornell University,Cornell University,,
1617,622453,University Of Arizona,University of Arizona,,
1618,838378,University Of Manitoba,University of Manitoba,,
1619,711496,University Of Chicago,University of Chicago,,
1620,263829,Princeton University,Princeton University,,
1621,333497,Hamilton College,Hamilton College,,
1622,377181,University Of Massachusetts At Amherst,University of Massachusetts at Amherst,,
1623,942779,Universidad De Los Andes,Universidad de Los Andes,Universidad De Los Andes,Universidad de Los Andes
1624,930026,Universitat Zurich,University of Zürich,Stockholm School Of Economics,Stockholm School of Economics
1625,51672,,,New York University,New York University
1626,541986,Pontificia Universidad Catolica Del Ecuador,Pontificia Universidad Católica del Ecuador,Harvard University,Harvard University
1627,607673,"University Of California, Berkeley","University of California, Berkeley",,
1628,129946,Xian Jiaotong University,Xi'an Jiaotong University,Syracuse University,Syracuse University
1629,588416,Occidental College,Occidental College,,
1630,873984,Duke University,Duke University,,
1631,586686,University of Science and Technology of China,University of Science and Technology of China,Peking University,Peking University
1632,693176,Universidad De Costa Rica,Universidad de Costa Rica,Instituto Tecnologico Autonomo de Mexico,Instituto Tecnológico Autonómo de México
1633,995839,Beijing Forestry University,Beijing Forestry University,Xi`an Jiaotong University,Xi'an Jiaotong University
1634,440267,University Of Pennsylvania,University of Pennsylvania,,
1635,180089,Williams College,Williams College,,
1636,811094,University Of Colorado At Denver,University of Colorado at Denver,Duke University,Duke University
1637,75495,University Of Michigan--Ann Arbor,University of Michigan,,
1638,261280,University Of Maryland At College Park (umcp),University of Maryland - College Park Umcp,,
1639,623881,Ohio University,Ohio University,,
1640,894549,Peking University,Peking University,,
1641,209176,Wuhan University,Wuhan University,University College London,University College London
1642,414528,University of Minnesota-Twin Cities,University of Minnesota,,
1643,167040,University of Minnesota-Twin Cities,University of Minnesota,,
1644,234043,Cornell University,Cornell University,,
1645,120345,Saint Louis University,Saint Louis University,,
1646,538288,Wellesley College,Wellesley College,,
1647,5412,Fudan University,Fudan University,Duke University,Duke University
1648,193047,Oberlin College,Oberlin College,,
1649,685853,Duke University,Duke University,University Of Michigan--Ann Arbor,University of Michigan
1650,750398,University Of Wyoming,University of Wyoming,,
1651,771715,Indiana University Bloomington,Indiana University at Bloomington,,
1652,167071,Universita Bocconi,Università Bocconi,Universita Bocconi,Università Bocconi
1653,146762,Pennsylvania State University,Pennsylvania State University,,
1654,771698,Seoul National University,Seoul National University,,
1655,1764,University Of Hong Kong,University of Hong Kong,,
1656,756523,Brigham Young University,Brigham Young University,,
1657,490850,Emory University,Emory University,,
1658,176716,University Of North Carolina At Chapel Hill,University of North Carolina,,
1659,366996,Wuhan University,Wuhan University,Duke University,Duke University
1660,805633,Mersin University,Mersin University,,
1661,471579,Universidad De Chile,Universidad de Chile,Universidad De Chile,Universidad de Chile
1662,967022,Harvard College,Harvard University - College,University Of Cambridge-Trinity College,University of Cambridge - Trinity College
1663,431818,La Trobe University,La Trobe University,Tulane University,The Tulane University of New Orleans
1664,805601,Brigham Young University,Brigham Young University,,
1665,120266,Johns Hopkins University,Johns Hopkins University,Johns Hopkins University,Johns Hopkins University
1666,418351,Brigham Young University,Brigham Young University,,
1667,276143,University Of Washington,University of Washington,,
1668,769492,Renmin University Of China In Beijing,Renmin University of China,,
1669,749385,Johns Hopkins University,Johns Hopkins University,,
1670,575122,Korea University,Korea University,Korea Advanced Institute Of Science And Technology,Korea Advanced Institute of Science & Technology
1671,56215,University Of Notre Dame,University of Notre Dame,,
1672,639631,University Of Rochester,University of Rochester,,
1673,678664,University Of Tokyo,University of Tokyo,University Of Chicago,University of Chicago
1674,823666,Michigan State University,Michigan State University,,
1675,985740,Brigham Young University,Brigham Young University,,
1676,873529,Pennsylvania State University,Pennsylvania State University,,
1677,221837,Harvey Mudd College,Harvey Mudd College,,
1678,752506,Creighton University,Creighton University,,
1679,8949,Yale University,Yale University,,
1680,880625,University Of Science And Technology Beijing,University of Science and Technology Beijing,Peking University,Peking University
1681,673331,Massachusetts Institute of Technology,Massachusetts Institute of Technology,,
1682,734082,Tsinghua University,Tsinghua University,Stanford University,Stanford University
1683,952382,St. Mary's College Of Maryland,St. Mary's College of Maryland,,
1684,457880,California Institute Of Technology,California Institute of Technology,,
1685,812217,Tsinghua University,Tsinghua University,,
1686,239725,Peking University,Peking University,University of Minnesota-Twin Cities,University of Minnesota
1687,897218,Columbia University,Columbia University,,
1688,133951,"Long Island University, C. W. Post Center",Long Island University - C W Post Center,,
1689,716960,Tsinghua University,Tsinghua University,,
1690,411391,University Of London-University College,University of London - University College,University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci
1691,40062,University Of Durham,University of Durham,University Of Durham,University of Durham
1692,449761,Athens School Of Economic And Business Sciences,Athens University of Economics and Business,Yale University,Yale University
1693,404228,Ohio State University,Ohio State University,,
1694,493828,Universita Bocconi,Università Bocconi,London School of Economics,London School of Economics and Political Science
1695,705856,University Of South Florida,University of South Florida,Florida Atlantic University,Florida Atlantic University
1696,19510,Boston University,Boston University,Boston University,Boston University
1697,290161,University Of Central Florida,University of Central Florida,,
1698,328305,"University Of California, Los Angeles","University of California, Los Angeles","California State University, Long Beach","California State University, Long Beach"
1699,717006,Brigham Young University,Brigham Young University,,
1700,317738,University Of Mannheim,Universität Mannheim,Boston University,Boston University
1701,51044,Virginia Polytechnic Institute and State University,Virginia Polytechnic Institute and State University (Virginia Tech),,
1702,816458,National Taiwan University,National Taiwan University,,
1703,118990,Instituto Tecnologico Autonomo de Mexico,Instituto Tecnológico Autonómo de México,Instituto Tecnologico Autonomo de Mexico,Instituto Tecnológico Autonómo de México
1704,201361,College Of William And Mary In Virginia,College of William and Mary,,
1705,73621,Tsinghua University,Tsinghua University,,
1706,359126,University Of Kerala,University of Kerala,Centre for Development Studies,University for Development Studies
1707,458234,Princeton University,Princeton University,,
1708,398628,Brown University,Brown University,,
1709,346126,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University
1710,472828,Trinity College,Trinity College Connecticut,Universita Commerciale 'luigi Bocconi',University of Commerce Luigi Bocconi
1711,445011,"California State University, Fullerton","California State University, Fullerton",,
1712,591633,Queen's University,Queen's University,,
1713,2192,Virginia Commonwealth University,Virginia Commonwealth University,,
1714,311946,Sharif University Of Technology,Sharif University of Technology,Sharif University Of Technology,Sharif University of Technology
1715,996856,Suffolk University,Suffolk University,Suffolk University,Suffolk University
1716,210426,Universidad De Chile,Universidad de Chile,Universidad De Chile,Universidad de Chile
1717,706213,"University Of California, Berkeley","University of California, Berkeley",,
1718,318600,Escola Politecnica da Universidade de Sao Paulo,Escola Politecnica da Universidade de Sao Paulo,University Of Sao Paulo,University Of Sao Paulo
1719,187658,Calvin College,Calvin College,,
1720,849428,Brown University,Brown University,New York University,New York University
1721,74796,Stanford University,Stanford University,,
1722,503996,Universidad Cristobal Colon,Universidad Cristóbal Colón,Centro De Investigacion Y Docenias Economicas,Centro de Estudios Investigación y Tecnología (CEIT)
1723,884638,University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign,University Of Cambridge,University of Cambridge
1724,692586,Mount Holyoke College,Mount Holyoke College,,
1725,41716,"University Of California, Berkeley","University of California, Berkeley",Harvard University,Harvard University
1726,683553,University Of Hong Kong,University of Hong Kong,New York University,New York University
1727,730987,Princeton University,Princeton University,,
1728,381600,Soka University of America,Soka University of America,Columbia University,Columbia University
1729,335949,Humboldt University of Berlin,Humboldt Universität Berlin,Humboldt University of Berlin,Humboldt Universität Berlin
1730,780011,Union College,Union College,,
1731,332091,Kansas State University,Kansas State University,University Of Southern California,University of Southern California
1732,363560,Universita Degli Studi Di Modena,Università di Modena e Reggio Emilia,Katholieke Universiteit Leuven,Katholieke Universiteit Leuven
1733,883602,Dartmouth College,Dartmouth College,,
1734,58836,Northwestern University,Northwestern University,,
1735,122277,MS Ramaiah institute Of Technology,Ramaiah Institute of Technology,,
1736,762903,College Of William And Mary In Virginia,College of William and Mary,,
1737,342383,University Of Chicago,University of Chicago,,
1738,419162,Stanford University,Stanford University,DePaul University,DePaul University
1739,568236,Brandeis University,Brandeis University,,
1740,470313,Georgetown University,Georgetown University,University Of Chicago,University of Chicago
