,confidence,orig,name,school
495,high,LUISS Guido Carli University,Luiss Guido Carli University,
496,google-match,IBMEC,Ibmec Sao Paulo,
497,high,Auburn University Main Campus,Auburn University,
498,high,Cornell College,Cornell University,college
499,high,University Of Oxford-St. Catharine's College,University of Oxford,st catharine's college
500,high,University Of Cambridge,University of Cambridge,
501,high,Gonzaga University,Gonzaga University,
502,high,Muhlenberg College,Muhlenberg College,
503,high,Soka University of America,Soka University of America,
504,high,Sung Kyun Kwan University,Sung Kyun Kwan University,
505,google-match,Instituto Tecnologico Autonomo de Mexico ITAM,Instituto Tecnológico Autonómo de México,
506,not changed,International Academy of Business,International Academy of Business,
507,google-match,Technical University Berlin,Technische Universität Berlin,
508,high,University Of Manchester,University of Manchester,
509,high,Maharaja Sayajirau University Of Baroda,Maharaja Sayajirao University of Baroda,
510,high,University of Geneva,University of Geneva,
511,high,Augsburg College,Augsburg College,
512,high,Universidade Federal De Minas Gerais,Universidade Federal de Minas Gerais,
513,high,Rhodes College,Rhodes College,
514,high,University Of Kentucky,University of Kentucky,
515,google-match,Karl-Franzens-Universitat Graz,Universität Graz,
516,google-match,Universita degli Studi di Roma 'La Sapienza',"University of Roma ""La Sapienza""",
517,high,Aoyama Gakuin University,Aoyama Gakuin University,
518,high,"University Of California, San Diego","University of California, San Diego",
519,high,Universidad Nacional De La Plata,Universidad Nacional de La Plata,
520,high,Robert Morris University,Robert Morris University,
521,high,Sogang Univesity,Sogang University,
522,high,Universidad De Buenos Aires,Universidad de Buenos Aires,
523,high,"University Of Maryland, Baltimore County",University of Maryland Baltimore County,
524,high,Victoria University Of Technology,Victoria University,
525,high,University Of Dallas,University of Dallas,
526,high,University Of Maryland At College Park (umcp),University of Maryland,college park umcp
527,partial-97,Universidad Catolica De Santiago,Universidad Católica de Santiago del Estero,
528,high,Hanoi National University,National University,
529,high,Ecole Centrale De Paris,Ecole Centrale De Paris,
530,high,Syracuse University,Syracuse University,
531,high,National University of Singapore,National University of Singapore,
532,high,Connecticut College,Connecticut College,
533,high,Universidad Nacional San Cristobal de Huamanga,Universidad Nacional de San Cristóbal de Huamanga,
534,google-match,University of Potsdam,Universität Potsdam,
535,high,International Islamic University,International Islamic University,
536,google-match,Hong Kong Polytechnic,Hong Kong Polytechnic University,
537,high,Universidad Anahuac,Universidad Anáhuac,
538,high,Beijing Foreign Studies University,Beijing Foreign Studies University,
539,high,Kalamazoo College,Kalamazoo College,
540,google-match,University of Brasilia,Universidade de Brasília,
541,high,University Of London-Royal Holloway College,University of London,royal holloway college
542,high,Loyola Marymount University,Loyola Marymount University,
543,high,Middle Tennessee State University,Middle Tennessee State University,
544,high,Shanghai Jiao Tong University,Shanghai Jiaotong University,
545,high,Purdue University,Purdue University,
546,high,Loyola University Of Chicago,Loyola University of Chicago,
547,google-match,Manipal Institute Of Technology,Manipal University,
548,high,Universidade Federal do Rio de Janeiro,Universidade Federal do Rio de Janeiro,
549,google-match,Universite Antilles,Université des Antilles et de la Guyane,
550,high,University Of Edinburgh,University of Edinburgh,
551,google-match,Instituto Tecnologico Autonomo de Mexico (ITAM),Instituto Tecnológico Autonómo de México,
552,not changed,Academy of National Economy under the Russian Government,Academy of National Economy under the Russian Government,
553,high,Dnipropetrovs'k National University,Dnepropetrovsk National University,
554,high,Loyola University New Orleans,Loyola University New Orleans,
555,ratio-94,Ludwig-Maximillians-Universitat Munchen,Ludwig-Maximilians-Universität München,
556,high,"University Of Michigan, Ann Arbor",University of Michigan,
557,google-match,Universita Cattolica Del Sacro Cuore,Catholic University of the Sacred Heart,
558,same-name,Universiteit Maastricht,University of Maastricht,
559,high,Soka Univeristy of America,Soka University of America,
560,high,University Of Bergen,University of Bergen,
561,high,Mcmaster University,McMaster University,
562,high,Clemson University,Clemson University,
563,high,Imperial College London,Imperial College London,
564,high,Universidad Catolica Andres Bello,Universidad Católica Andres Bello,
565,not changed,Huhhot,Huhhot,
566,google-match,Universita Degli Studi di Pisa,University of Pisa,
567,google-match,Vanguard University,Vanguard University of Southern California,
568,high,Universidad De Concepcion,Universidad de Concepcion,
569,high,Jadavpur University,Jadavpur University,
570,high,Temple University,Temple University,
571,high,University of Calgary,University of Calgary,
572,high,Covenant College,Covenant College,
573,high,Universidad Nacional Mayor De San Marcos,Universidad Nacional Mayor de San Marcos,
574,high,Rheinische Friedrich-Wilhelms-Universitat Bonn,Rheinische Friedrich-Wilhelms Universität Bonn,
575,google-match,Norges Handelshoyskole,Norwegian School of Economics and Business Administration,
576,high,East China University of Science and Technology,East China University of Science and Technology,
577,high,Lebanese American University,Lebanese American University,
578,high,University of Cambridge,University of Cambridge,
579,high,Trent University,Trent University,
