,name,best_ratio_match,best_ratio,best_partial_ratio_match,best_partial_ratio,best_token_sort_ratio_match,best_token_sort_ratio
438,Shanghai University Of Finance And Economics,Shanghai University of Finance and Economics,100,Shanghai University,100,Shanghai University,100
439,University Of Oxford-Lincoln College,University of Trinity College,77,University of Oxford,100,University of Lincoln,100
440,Universidade Federal Do Rio Grande Do Sul,Universidade Federal do Rio Grande do Sul,100,Universidade Federal do Rio Grande do Sul,100,Universidade do Grande Rio,100
441,Canisius College,Canisius College,100,Canisius College,100,Canisius College,100
442,Florida State University,Florida State University,100,Florida State University,100,Florida State University,100
443,Furman University,Furman University,100,Furman University,100,Furman University,100
444,Universidade Tecnica De Lisboa,Universidade Tecnica de Lisboa,100,Universidade Tecnica de Lisboa,100,Universidade de Lisboa,100
445,Instituto TecnolÃ³gico AutÃ³nomo de Mexico,Instituto Tecnológico Autonómo de México,88,Instituto Tecnológico Autonómo de México,85,Instituto Tecnológico Autonómo de México,96
446,Universite Pierre Et Marie Curie (paris Vi),Université Pierre et Marie Curie (Paris VI),98,Université Pierre et Marie Curie (Paris VI),98,Université Pierre et Marie Curie (Paris VI),99
447,University Of Auckland,University of Auckland,100,University of Auckland,100,Auckland University of Technology,100
448,University of Prishtina,University of Priština,93,University of Pisa,94,University of Priština,93
449,Eidgenossische Technische Hochschule Zurich,Rheinisch Westfälische Technische Hochschule Aachen,74,Fachhochschule Pur,83,Hochschule Fulda,77
450,Wheaton College,Hampton College,87,Wheaton College Massachusetts,100,Wheaton College Massachusetts,100
451,Northeastern University,Northeastern University,100,Northeastern University,100,Northeastern Illinois University,100
452,University Of Alabama In Tuscaloosa,University of Alabama - Tuscaloosa,96,University of Alabama - Tuscaloosa,94,University of Alabama - Tuscaloosa,100
453,Anglia Polytechnic University,Dalian Polytechnic University,93,Polytechnic University,100,Polytechnic University,100
454,Hampton University,Hampton University,100,Hampton University,100,Hampton University,100
455,Oxford University,Fordham University,86,Radford University,88,Oxford Brookes University,100
456,Texas Tech University,Texas Tech University,100,Texas Tech University,100,Texas Tech University,100
457,University Of Oxford-St. Hilda's College,University of St. Michael's College,80,University of Oxford,100,University of Oxford,100
458,Kwame Nkrumah University of Science and Technology,Kwame Nkrumah University of Science and Technology,100,Kwame Nkrumah University of Science and Technology,100,Kwame Nkrumah University of Science and Technology,100
459,Beijing Institute Civil Engineering/architecture,Beijing Institute Civil Engineering/architecture,100,Beijing Institute Civil Engineering/architecture,100,Beijing Institute Civil Engineering/architecture,100
460,Adolfo Ibanez University,Dalian University,78,IE University,92,"Universidad ""Adolfo Ibañez""",88
461,Bard College,Bard College,100,Bard College,100,Bard College,100
462,Athens School Of Economic And Business Sciences,Helsinki School of Economics and Business Administration,76,Kiev School Of Economics,83,School of Economic Sciences,100
463,Haverford College,Haverford College,100,Haverford College,100,Haverford College,100
464,Colgate University,Colgate University,100,Colgate University,100,Colgate University,100
465,Taylor University,Taylor University,100,Taylor University,100,Taylor University,100
466,"Calif. Polytechnic State Univ., San Luis Obispo",California Polytechnic State University - San Luis Obispo,85,Ho Polytechnic ,86,California Polytechnic State University - San Luis Obispo,89
467,ITESM -CCM,Sibelius Academy,46,"Arizona State University, Tempe Campus",60,Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM),71
468,Sichuan University,Sichuan University,100,Sichuan University,100,Chengdu Institute of Sichuan International Studies University,100
469,University Of Waterloo,University of Waterloo,100,University of Waterloo,100,University of Waterloo,100
470,Victoria University Of Wellington,Victoria University of Wellington,100,Victoria University,100,University of Victoria,100
471,Universidad De Lima,Universidad de Lima,100,Universidad de Lima,100,Universidad de Lima,100
472,American University In Bulgaria,American University in Bulgaria,100,American University,100,American University,100
473,Scuola Superiore Sant'Anna di Studi Univ. e di Perfezionamento,Scuola Superiore Sant'Anna di Studi Univ. e di Perfezionamento,100,Scuola Superiore Sant'Anna di Studi Univ. e di Perfezionamento,100,Scuola Superiore Sant'Anna di Studi Univ. e di Perfezionamento,100
474,Saint Louis University,Saint Louis University,100,Saint Louis University,100,University of Missouri - Saint Louis,100
475,Kyunghee University,Kyunghee University,100,Kyunghee University,100,Kyunghee University,100
476,Wuhan University of Technology,Wuhan University of Technology,100,Wuhan University,100,Wuhan University,100
477,"Indian Institute Of Technology, Madras","Indian Institute of Technology, Madras",100,"Indian Institute of Technology, Madras",100,"Indian Institute of Technology, Madras",100
478,Vietnam National University,Vietnam National University Hanoi,90,National University,100,National University,100
479,University Of London-University College,University of Maryland University College,88,University of London,100,"Birkbeck College, University of London",100
480,"Paris Sorbonne University, Paris IV",Paris-Sorbonne University Abu Dhabi,80,IE University,92,Université Paris-Sorbonne (Paris IV),98
481,Agnes Scott College,Agnes Scott College,100,Agnes Scott College,100,Agnes Scott College,100
482,University Of Massachusetts At Amherst,University of Massachusetts at Amherst,100,University of Massachusetts at Amherst,100,University of Massachusetts at Amherst,100
483,University Of Minnesota--Duluth,University of Minnesota - Duluth,95,University of Minnesota,100,University of Minnesota - Duluth,100
484,Rijksuniversiteit Groningen,University of Groningen,76,Universiteit Gent,88,University of Groningen,76
485,Friedrich-Alexander-Universitat Erlangen-Nurnberg,Friedrich-Alexander Universität Erlangen-Nürnberg,94,Friedrich-Alexander Universität Erlangen-Nürnberg,94,Friedrich-Alexander Universität Erlangen-Nürnberg,98
486,University of Castilla-La Mancha,Universidad de Castilla La Mancha,83,University of East,94,IE University,87
487,University Of Canterbury,University of Canterbury,100,University of Canterbury,100,University of Canterbury,100
488,Dartmouth College,Dartmouth College,100,Dartmouth College,100,Dartmouth College,100
489,Berklee College Of Music,Berklee College of Music,100,Berklee College of Music,100,Berklee College of Music,100
490,Eafit University,Herat University,88,FPT University,93,Herat University,88
491,Universita Degli Studi Di Trieste,Universita Degli Studi Di Trieste,100,Universita Degli Studi Di Trieste,100,Universita Degli Studi Di Trieste,100
492,University Of Nigeria,University of Nigeria,100,ABTI American University of Nigeria,100,ABTI American University of Nigeria,100
493,Katholieke Universiteit Leuven,Katholieke Universiteit Leuven,100,Katholieke Universiteit Leuven,100,Katholieke Universiteit Leuven,100
494,Instituto TecnolÃ³gico AutÃ³nomo de MÃ©xico (ITAM),Instituto Tecnológico Autonómo de México,80,Instituto Tecnológico Autonómo de México,82,Instituto Tecnológico de León,92
495,LUISS Guido Carli University,Luiss Guido Carli University,100,Luiss Guido Carli University,100,Luiss Guido Carli University,100
496,IBMEC,Ibmec Sao Paulo,50,Ibmec Sao Paulo,100,Ibmec Sao Paulo,100
497,Auburn University Main Campus,"European University, Athens Campus",76,Auburn University,100,Auburn University,100
498,Cornell College,Help University College,86,Cornell University,100,Cornell College,100
499,University Of Oxford-St. Catharine's College,University of St. Michael's College,81,University of Oxford,100,University of Oxford,100
500,University Of Cambridge,University of Cambridge,100,University of Cambridge,100,University of Cambridge,100
501,Gonzaga University,Gonzaga University,100,Gonzaga University,100,Gonzaga University,100
502,Muhlenberg College,Muhlenberg College,100,Muhlenberg College,100,Muhlenberg College,100
503,Soka University of America,Soka University of America,100,Soka University of America,100,Soka University of America,100
504,Sung Kyun Kwan University,Sung Kyun Kwan University,100,Sung Kyun Kwan University,100,Sung Kyun Kwan University,100
505,Instituto Tecnologico Autonomo de Mexico ITAM,Instituto Tecnológico Autonómo de México,87,Instituto Tecnológico Autonómo de México,92,Instituto Tecnológico Autonómo de México,90
506,International Academy of Business,National Academy of Fine Arts,77,National Academy of Arts,88,International University of Business Agriculture and Technology,86
507,Technical University Berlin,Technical University of Lublin,88,Cag University,93,Georgian Technical University,89
508,University Of Manchester,University of Manchester,100,University of Manchester,100,University of New Hampshire - Manchester,100
509,Maharaja Sayajirau University Of Baroda,Maharaja Sayajirao University of Baroda,97,Maharaja Sayajirao University of Baroda,97,Maharaja Sayajirao University of Baroda,97
510,University of Geneva,University of Geneva,100,University of Geneva,100,University of Geneva,100
511,Augsburg College,Augsburg College,100,Augsburg College,100,Augsburg College,100
512,Universidade Federal De Minas Gerais,Universidade Federal de Minas Gerais,100,Universidade Federal de Minas Gerais,100,Universidade Federal de Minas Gerais,100
513,Rhodes College,Rhodes College,100,Rhodes College,100,Rhodes College,100
514,University Of Kentucky,University of Kentucky,100,University of Kentucky,100,University of Kentucky,100
515,Karl-Franzens-Universitat Graz,Universität Graz,65,Universität Graz,94,Universitat de Vic,76
516,Universita degli Studi di Roma 'La Sapienza',Universita Degli Studi Di Trieste,75,Universita Degli Studi Di Trieste,82,Universita Degli Studi Di Trieste,86
517,Aoyama Gakuin University,Aoyama Gakuin University,100,Aoyama Gakuin University,100,Aoyama Gakuin University,100
518,"University Of California, San Diego","University of California, San Diego",100,"University of California, San Diego",100,"University of California, San Diego",100
519,Universidad Nacional De La Plata,Universidad Nacional de La Plata,100,Universidad Nacional de La Plata,100,Universidad Nacional de La Plata,100
520,Robert Morris University,Robert Morris University,100,Robert Morris University,100,Robert Morris University,100
521,Sogang Univesity,Sogang University,97,Sogang University,94,Sogang University,97
522,Universidad De Buenos Aires,Universidad de Buenos Aires,100,Universidad de Buenos Aires,100,Universidad Católica Argentina Santa Maria de los Buenos Aires,100
523,"University Of Maryland, Baltimore County",University of Maryland Baltimore County,99,University of Maryland,100,University of Baltimore,100
524,Victoria University Of Technology,Urmia University of Technology,89,Victoria University,100,University of Victoria,100
525,University Of Dallas,University of Dallas,100,University of Dallas,100,University of Dallas,100
526,University Of Maryland At College Park (umcp),University of Maryland University College,74,University of Maryland,100,Park College,100
527,Universidad Catolica De Santiago,Universidad Tecnológica de Santiago,90,Universidad Católica de Santiago del Estero,97,Universidad Santiago de Cali,93
528,Hanoi National University,Changwon National University,91,National University,100,National University,100
529,Ecole Centrale De Paris,Ecole Centrale De Paris,100,Ecole Centrale De Paris,100,Ecole Centrale De Paris,100
530,Syracuse University,Syracuse University,100,Syracuse University,100,State University of New York Health Sience Centre Syracuse,100
531,National University of Singapore,National University of Singapore,100,National University,100,National University,100
532,Connecticut College,Connecticut College,100,Connecticut College,100,Connecticut College,100
533,Universidad Nacional San Cristobal de Huamanga,Universidad Nacional de San Cristóbal de Huamanga,95,Universidad Nacional,100,Universidad Nacional,100
534,University of Potsdam,University of Kota,87,Beijing University of Posts and Telecommunications,90,State University of New York College at Potsdam,100
535,International Islamic University,International Islamic University,100,International Islamic University Chittagong,100,International Islamic University Chittagong,100
536,Hong Kong Polytechnic,Ho Polytechnic ,80,Hong Kong Polytechnic University,100,Hong Kong Polytechnic University,100
537,Universidad Anahuac,Universidad Anáhuac,95,Universidad Anáhuac,95,Universidad Anáhuac,97
538,Beijing Foreign Studies University,Beijing Foreign Studies University,100,Beijing Foreign Studies University,100,Beijing Foreign Studies University,100
539,Kalamazoo College,Kalamazoo College,100,Kalamazoo College,100,"Davenport College of Business, Kalamazoo",100
540,University of Brasilia,University of Basel,88,Law University of Bratislava,91,University of Basel,88
541,University Of London-Royal Holloway College,University of Maryland University College,67,University of London,100,University College London,100
542,Loyola Marymount University,Loyola Marymount University,100,Loyola Marymount University,100,Loyola Marymount University,100
543,Middle Tennessee State University,Middle Tennessee State University,100,Middle Tennessee State University,100,Middle Tennessee State University,100
544,Shanghai Jiao Tong University,Shanghai Jiaotong University,98,Shanghai Jiaotong University,96,Shanghai University,100
545,Purdue University,Purdue University,100,Indiana University-Purdue University at Columbus,100,Indiana University-Purdue University at Columbus,100
546,Loyola University Of Chicago,Loyola University of Chicago,100,Loyola University of Chicago,100,Loyola University of Chicago,100
547,Manipal Institute Of Technology,Ramaiah Institute of Technology,90,Nippon Institute of Technology,92,Cork Institute of Technology,90
548,Universidade Federal do Rio de Janeiro,Universidade Federal do Rio de Janeiro,100,Universidade Federal do Rio de Janeiro,100,Universidade do Rio de Janeiro,100
549,Universite Antilles,Université de Nantes,82,Universiteit Antwerpen,79,Nile University,82
550,University Of Edinburgh,University of Edinburgh,100,University of Edinburgh,100,University of Edinburgh,100
551,Instituto Tecnologico Autonomo de Mexico (ITAM),Instituto Tecnológico Autonómo de México,85,Instituto Tecnológico Autonómo de México,92,Instituto Tecnológico Autonómo de México,90
552,Academy of National Economy under the Russian Government,"Academy of International Economic and Political Relations, Gdynia",63,Academy of Arts,87,National Academy of Arts,88
553,Dnipropetrovs'k National University,Dnepropetrovsk National University,96,National University,100,National University,100
554,Loyola University New Orleans,Loyola University New Orleans,100,Loyola University New Orleans,100,Loyola University New Orleans,100
555,Ludwig-Maximillians-Universitat Munchen,Ludwig-Maximilians-Universität München,94,Ludwig-Maximilians-Universität München,92,Ludwig-Maximilians-Universität München,96
556,"University Of Michigan, Ann Arbor",University of Michigan - Dearborn,88,University of Michigan,100,University of Michigan,100
557,Universita Cattolica Del Sacro Cuore,Universidad Catolica del Maule,79,Universidad Catolica del Maule,80,Universidad Catolica del Norte,79
558,Universiteit Maastricht,University of Maastricht,85,University of Maastricht,83,University of Maastricht,85
559,Soka Univeristy of America,Soka University of America,96,Soka University of America,96,Soka University of America,96
560,University Of Bergen,University of Bergen,100,University of Bergen,100,University of Bergen,100
561,Mcmaster University,McMaster University,100,McMaster University,100,McMaster University,100
562,Clemson University,Clemson University,100,Clemson University,100,Clemson University,100
563,Imperial College London,Imperial College London,100,Imperial College London,100,Imperial College London,100
564,Universidad Catolica Andres Bello,Universidad Católica Andres Bello,97,Universidad Católica Andres Bello,97,Universidad Católica Andres Bello,98
565,Huhhot,Inner Mongolia University,100,Inner Mongolia University,100,Inner Mongolia Agricultural University,100
566,Universita Degli Studi di Pisa,Universita Degli Studi Di Trieste,89,Universita Degli Studi Di Trieste,90,Universita Degli Studi Di Trieste,91
567,Vanguard University,Kannur University,83,Vanguard University of Southern California,100,Vanguard University of Southern California,100
568,Universidad De Concepcion,Universidad de Concepcion,100,Universidad de Concepcion,100,Universidad de Concepcion,100
569,Jadavpur University,Jadavpur University,100,Jadavpur University,100,Jadavpur University,100
570,Temple University,Temple University,100,Temple University,100,Temple University,100
571,University of Calgary,University of Calgary,100,University of Calgary,100,University of Calgary,100
572,Covenant College,Covenant College,100,Covenant College,100,Covenant College,100
573,Universidad Nacional Mayor De San Marcos,Universidad Nacional Mayor de San Marcos,100,Universidad Nacional,100,Universidad Mayor,100
574,Rheinische Friedrich-Wilhelms-Universitat Bonn,Rheinische Friedrich-Wilhelms Universität Bonn,96,Rheinische Friedrich-Wilhelms Universität Bonn,96,Rheinische Friedrich-Wilhelms Universität Bonn,99
575,Norges Handelshoyskole,Sage Graduate School,52,Anderson College,60,Handelshochschule Leipzig,60
576,East China University of Science and Technology,East China University of Science and Technology,100,East China University of Science and Technology,100,East China University of Science and Technology,100
577,Lebanese American University,Lebanese American University,100,American University,100,American University,100
578,University of Cambridge,University of Cambridge,100,University of Cambridge,100,University of Cambridge,100
579,Trent University,Trent University,100,Trent University,100,Trent University,100
580,Zhejiang Gongshang University,Zhejiang Gongshang University,100,Zhejiang Gongshang University,100,Zhejiang Gongshang University,100
581,University of London,University of London,100,"British Institute in Paris, University of London",100,"British Institute in Paris, University of London",100
582,University Of Miami,University of Miami,100,University of Miami,100,Miami University of Ohio,100
583,Hanyang University,Hanyang University,100,Hanyang University,100,Hanyang University,100
584,Universitat Wien,Universität Vienna,82,Medizinische Universität Wien,94,Universität Vienna,85
585,Johann Wolfgang Goethe-Universitat Frankfurt,Johann Wolfgang Goethe Universität Frankfurt am Main,88,Johann Wolfgang Goethe Universität Frankfurt am Main,95,Johann Wolfgang Goethe Universität Frankfurt am Main,91
586,Siena College,Siena College,100,Siena College,100,Siena College,100
587,Ferdowsi University of Mashhad,Ferdowsi University of Mashhad,100,Ferdowsi University of Mashhad,100,Ferdowsi University of Mashhad,100
588,Southern Illinois University--Edwardsville,Southern Illinois University at Edwardsville,93,Northern Illinois University,93,Southern Illinois University at Edwardsville,100
589,University Of Bayreuth,University of Bath,90,University of Bari,94,University of Bath,90
590,University of Bristol,University of Bristol,100,University of Bristol,100,University of Bristol,100
591,Sophia College for Women,Sophia College for Women,100,Sophia College for Women,100,Sophia College for Women,100
592,Birla Institute Of Technology & Science,Birla Institute of Technology and Science,95,Birla Institute of Technology and Science,92,Birla Institute of Technology and Science,100
593,University Of Houston--University Park,"University of Houston, Clear Lake",73,University of Houston,100,University of Houston,100
594,universidad de los andes,Universidad de Los Andes,100,Universidad de Los Andes,100,Universidad Los Andes,100
595,Escola De Administracao De Empresas De Sao Paulo,Escola De Administracao De Empresas De Sao Paulo,100,Escola De Administracao De Empresas De Sao Paulo,100,Escola De Administracao De Empresas De Sao Paulo,100
596,Indian Institute of Technology Delhi,"Indian Institute of Technology, Delhi",99,"Indian Institute of Technology, Delhi",97,"Indian Institute of Technology, Delhi",100
597,University Of South Carolina,University of South Carolina,100,Medical University of South Carolina,100,Medical University of South Carolina,100
598,Kenyon College,Kenyon College,100,Kenyon College,100,Kenyon College,100
599,St. Vincent College,St. Vincent College,100,St. Vincent College,100,College of Mount St. Vincent,100
600,Ryerson Polytechnic Institute,Worcester Polytechnic Institute,83,Ho Polytechnic ,93,Ho Polytechnic ,88
601,Open University Of Israel,Open University of Israel,100,Open University,100,Open University,100
602,Keio University,Keio University,100,Keio University,100,Keio University,100
603,Huaqiao University, Huaihua University,89,Huaqiao University Quanzhuo,100,Huaqiao University Quanzhuo,100
604,University College Utrecht (Utrecht University),University College of the Fraser Valley,65,Utrecht University,100,Utrecht University,100
605,University Of Minnesota-Morris,University of Minnesota - Morris,97,University of Minnesota,100,University of Minnesota - Morris,100
606,Helsinki School Of Econ. & Business Administration,Helsinki School of Economics and Business Administration,91,Helsinki School of Economics and Business Administration,84,Helsinki School of Economics and Business Administration,94
607,University of St. Andrews,University of St. Andrews,100,University of St. Andrews,100,Andrews University,100
608,University Of Manitoba,University of Manitoba,100,University of Manitoba,100,University of Manitoba,100
609,Pontificia Universidad Catolica Del Ecuador,Pontificia Universidad Católica del Ecuador,98,Pontificia Universidad Católica del Ecuador,98,Pontificia Universidad Católica del Ecuador,99
610,Xian Jiaotong University,Xi'an Jiaotong University,98,Xi'an Jiaotong University,96,Xi'an Jiaotong University,90
611,Occidental College,Occidental College,100,Occidental College,100,Occidental College,100
612,University of Science and Technology of China,University of Science and Technology of China,100,South University of Science and Technology of China ,100,East China University of Science and Technology,100
613,Beijing Forestry University,Beijing Forestry University,100,Beijing Forestry University,100,Beijing Forestry University,100
614,University Of Colorado At Denver,University of Colorado at Denver,100,University of Colorado at Denver,100,University of Colorado at Denver,100
615,Ohio University,Ohio University,100,Northeastern Ohio University College of Medicine,100,Miami University of Ohio,100
616,Mersin University,Mersin University,100,Mersin University,100,Mersin University,100
617,La Trobe University,La Trobe University,100,La Trobe University,100,La Trobe University,100
618,Harvey Mudd College,Harvey Mudd College,100,Harvey Mudd College,100,Harvey Mudd College,100
619,Creighton University,Creighton University,100,Creighton University,100,Creighton University,100
620,University Of Science And Technology Beijing,University of Science and Technology Beijing,100,University of Science and Technology Beijing,100,Beijing University of Science and Technology,100
621,St. Mary's College Of Maryland,St. Mary's College of Maryland,100,St. Mary's College of Maryland,100,College of St. Mary,100
622,"Long Island University, C. W. Post Center","Long Island University, C.W. Post Campus",86,Long Island University,100,Long Island University,100
623,University Of South Florida,University of South Florida,100,University of South Florida,100,University of Florida,100
624,University Of Central Florida,University of Central Florida,100,University of Central Florida,100,University of Central Florida,100
625,Virginia Polytechnic Institute and State University,Virginia Polytechnic Institute and State University (Virginia Tech),86,Virginia Polytechnic Institute and State University (Virginia Tech),100,Polytechnic University,100
626,University Of Kerala,University of Kerala,100,University of Kerala,100,Kerala University of Fisheries and Ocean Sciences,100
627,"California State University, Fullerton","California State University, Fullerton",100,"California State University, Fullerton",100,"California State University, Fullerton",100
628,Virginia Commonwealth University,Virginia Commonwealth University,100,Virginia Commonwealth University,100,Virginia Commonwealth University,100
629,Suffolk University,Suffolk University,100,Suffolk University,100,Suffolk University,100
630,Escola Politecnica da Universidade de Sao Paulo,Escola Politecnica da Universidade de Sao Paulo,100,Escola Politecnica da Universidade de Sao Paulo,100,Escola Politecnica da Universidade de Sao Paulo,100
631,Universidad Cristobal Colon,Universidad Cristóbal Colón,93,Universidad Cristóbal Colón,93,Universidad Cristóbal Colón,96
632,Humboldt University of Berlin,Humboldt Universität Berlin,89,University of Belize,90,Humboldt Universität Berlin,91
633,Union College,Union College,100,Atlantic Union College,100,Atlantic Union College,100
634,Kansas State University,Kansas State University,100,Arkansas State University,100,Kansas State University,100
635,MS Ramaiah institute Of Technology,Ramaiah Institute of Technology,95,Ramaiah Institute of Technology,100,Ramaiah Institute of Technology,100
636,University Of Indonesia,University of Minnesota,87,University of London,90,University of Minnesota,87
637,Iowa State University of Science and Technology,Iowa State University of Science and Technology,100,Iowa State University of Science and Technology,100,Iowa State University of Science and Technology,100
638,Pont Univ of the Holy Cross,College of the Holy Cross,73,College of the Holy Cross,72,College of the Holy Cross,81
639,Delhi School of Economics,Delhi School of Economics,100,Delhi School of Economics,100,Delhi School of Economics,100
640,El Colegio De Mexico,El Colegio de México,95,El Colegio de México,95,El Colegio de México,97
641,University Of Nebraska At Omaha,University of Nebraska - Omaha,95,University of Nebraska - Omaha,93,University of Nebraska - Omaha,100
642,New Economic School,New Economic School,100,New Economic School,100,New Economic School,100
643,Universite De Neuchatel,University of Neuchatel,87,University of Neuchatel,87,University of Neuchatel,87
644,Center for Economic Research & Graduate Education-Econ. Inst.,Center for Economic Research and Graduate Education - Economics Institute,87,Center for Economic Research and Graduate Education - Economics Institute,89,Center for Economic Research and Graduate Education - Economics Institute,90
