,newid,Institution of highest degree obtained,name
316,737492,Northwestern University - Kellogg School of Management,Northwestern University - Kellogg School Of Management
317,47048,European University Institute,European University Institute
318,771936,Duke University - The Fuqua School of Business,Duke University - The Fuqua School Of Business
319,933452,-,
320,837658,"University of California, Berkeley","University of California, Berkeley"
321,300461,London School of Economics and Political Science,"London School of Economics and Political Science, University of London"
322,40315,-,
323,983502,-,
324,58218,-,
325,989615,Columbia University in the City of New York,Columbia University
326,724572,New York University,New York University
327,499717,Stanford University Graduate School of Business,Stanford University - Graduate School Of Business
328,485851,-,
329,762113,Stanford University Graduate School of Business,Stanford University - Graduate School Of Business
330,955396,University of Amsterdam,University of Amsterdam
331,686875,Carnegie Mellon University,Carnegie Mellon University
332,135591,Northwestern University - Kellogg School of Management,Northwestern University - Kellogg School Of Management
333,922148,Vanderbilt University,Vanderbilt University
334,457782,University of Michigan,University of Michigan
335,67814,-,
336,499852,Harvard University,Harvard University
337,798940,Harvard University,Harvard University
338,63085,Harvard University,Harvard University
339,940692,Cornell University,Cornell University
340,79263,Boston University,Boston University
341,372291,Fundação Getúlio Vargas,Fundação Getulio Vargas
342,172754,New York University - Leonard N. Stern School of Business,New York University - Stern School Of Business
343,679443,University of Minnesota-Twin Cities,University of Minnesota
344,998749,The University of Texas at Austin,University of Texas
345,607528,NYU Stern School of Business,New York University - Stern School Of Business
346,432687,Savitribai Phule Pune University,Savitribai Phule Pune University
347,774671,Cornell University,Cornell University
348,689836,The Wharton School,University of Pennsylvania - The Wharton School
349,898898,Northwestern University,Northwestern University
350,882790,-,
351,427699,-,
352,933909,Cornell University,Cornell University
353,401882,University of Utah,University of Utah
354,903335,-,
355,330477,Harvard University,Harvard University
356,30053,-,
357,538507,Boston College,Boston College
358,789170,-,
359,515927,-,
360,712400,American University,American University
361,962323,-,
362,160605,University of Notre Dame,University of Notre Dame
363,732624,University of Wisconsin - Madison,University of Wisconsin - Madison
364,456349,Harvard Business School,Harvard University - Business School
365,551113,-,
366,176850,Imperial College London,Imperial College London
367,729011,-,
368,643457,Northwestern University,Northwestern University
369,494006,The George Washington University,George Washington University
370,606028,-,
371,441149,Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology
372,779927,-,
373,835923,University of Massachusetts Boston,University of Massachusetts at Boston
374,980446,Stanford University,Stanford University
375,558109,Emory University,Emory University
376,37803,Boston College,Boston College
377,669384,University of Minnesota,University of Minnesota
378,147446,-,
379,568791,-,
380,257287,Northwestern University,Northwestern University
381,815443,Stanford University,Stanford University
382,102478,Massachusetts Institute of Technology,Massachusetts Institute of Technology
383,460289,-,
384,338351,Massachusetts Institute of Technology,Massachusetts Institute of Technology
385,54948,University of Minnesota,University of Minnesota
386,642600,Columbia University in the City of New York,Columbia University
387,134862,-,
388,563374,Massachusetts Institute of Technology,Massachusetts Institute of Technology
389,331798,The University of Chicago Booth School of Business,University of Chicago - Booth School Of Business
390,742763,Harvard University,Harvard University
391,948223,Harvard University,Harvard University
392,97239,-,
393,828421,Massachusetts Institute of Technology,Massachusetts Institute of Technology
394,852970,Carnegie Mellon University - Tepper School of Business,Carnegie Mellon University - Tepper School Of Business
395,570728,"University of California, Los Angeles","University of California, Los Angeles"
396,111680,University of Michigan,University of Michigan
