newid,Institution of highest degree obtained
366308,University of Chicago
111288,University of Virginia
137849,New York University
858201,University of San Francisco
422582,Università Bocconi
478660,-
472330,Northwestern University - Kellogg School of Management
502,-
678173,-
491491,-
406807,-
533088,-
807805,West Virginia University
586093,Johann Wolfgang Goethe-Universität Frankfurt am Main
763453,-
919687,"University of California, Berkeley"
294829,Central European University
135438,SFI Swiss Finance Institute
362186,University of Cambridge
713545,"University of California, Irvine"
652071,Johns Hopkins University Advanced Academic Programs
734521,Columbia University in the City of New York
169853,-
960388,-
998043,Georgia State University - Andrew Young School of Policy Studies
838087,-
843649,Stanford University
345269,Indiana University Bloomington
796717,University of Cambridge
883997,"University of California, Los Angeles"
847296,University of Rochester
781451,University of Notre Dame
706170,Universidad de Chile
164203,Duke University
314576,-
504564,UCLA
327983,Massachusetts Institute of Technology
666546,Stanford University
900574,Massachusetts Institute of Technology
672199,Columbia University in the City of New York
526179,Boston College
205191,UCL
991489,"New York University, Stern School of Busines"
781972,-
334330,University of Illinois at Urbana-Champaign
784216,Trinity College Dublin
770209,Columbia University
428475,-
486921,-
780170,Harvard University
692256,Princeton University
138183,-
560795,-
993247,Boston University
340104,Georgetown University
515761,Cornell University
375525,Massachusetts Institute of Technology
313096,Georgetown University
489639,-
292759,Yale University
707371,University of Michigan
989126,Columbia University in the City of New York
831094,New York University
786380,-
979001,Stanford University
25141,University of Pennsylvania
412408,Stanford University
22946,-
828528,Yale University
745596,-
429137,-
723381,The George Washington University
1235,Stanford University Graduate School of Business
133435,Boston University
212945,The University of Texas at Austin
934895,Cornell University
147169,Columbia University
752724,-
621768,Boston University
291560,The London School of Economics and Political Science (LSE)
32840,Brown University
919414,-
7075,The Ohio State University
750705,Toulouse School of Economics
378067,Brown University
843106,UC Berkeley
459774,University of St.Gallen
369268,-
540917,University of North Carolina at Chapel Hill - Kenan-Flagler Business School
154067,Duke University
170315,Princeton University
323233,The London School of Economics and Political Science (LSE)
412929,University of Minnesota
976049,-
578530,-
403034,"University of California, Berkeley"
346407,-
609508,-
328104,New York University
203844,-
347366,University of Cambridge
108993,-
393606,Harvard University
331644,University of Cambridge
427924,University of Georgia
716405,Southern Methodist University
833554,Simon Fraser University
200505,-
886102,Princeton University
502273,Massachusetts Institute of Technology
552120,University of Calgary
712791,-
496910,-
165725,The Australian National University
920283,The University of Chicago
282627,-
562442,Columbia University in the City of New
467757,"University of California, Los Angeles"
523063,-
709585,-
42655,Princeton University
745172,-
543929,Boston College
175835,-
811077,-
874912,University of Texas at Austin
446429,UC Berkeley School of Information
400744,"University of California, Berkeley"
123440,George Mason University
933069,Western University
717748,-
533796,Northwestern University
326159,-
651445,-
867927,University of Virginia
914310,Virginia Tech
634187,Northwestern University
390026,-
566526,"University of California, San Diego - The Rady School of Management"
743941,London School of Economics and Political Science
261436,The University of Chicago Booth School of Business
692198,New York University
776219,Brown University
419322,-
232728,-
892626,University of Oxford
661740,-
238567,-
256396,-
748884,University of Rochester
992068,University of Michigan
547485,University of Virginia
893649,"University of California, Berkeley"
185169,"University of California, San Diego"
225455,Purdue University
824441,"University of California, Berkeley"
590454,Duke University
98485,"University of California, Berkeley"
299041,"University of California, Berkeley"
722119,University of Illinois Urbana-Champaign
5898,Duke University - The Fuqua School of Business
187773,University of Michigan - Stephen M. Ross School of Business
149656,Massachusetts Institute of Technology (MIT)
291430,University of California
449652,University of Copenhagen
967274,-
168930,Princeton University
883441,-
919378,Yale Law School
653037,Columbia University
681098,-
73899,Northwestern University
372957,Princeton University
69664,University of California San Diego
656351,-
288607,The London School of Economics and Political Science (LSE)
462835,-
665748,The University of British Columbia
399929,-
66878,Columbia Engineering
596109,University of Michigan
392273,University of Virginia
972894,University of California-Berkeley
768252,Washington University in St. Louis
74066,-
614422,-
298980,Yale School of Management
739118,"University of California, Los Angeles"
314155,The Wharton School
954566,-
566887,The Ohio State University
591253,University of Wisconsin-Madison
366449,Boston College
381481,-
183156,-
250424,Massachusetts Institute of Technology
130685,-
861208,University of Wisconsin-Madison
880975,University of Minnesota
928385,University of Zürich
380322,-
247721,-
204316,-
743858,Ludwig-Maximilians-Universität München
328262,"University of California, Los Angeles"
664570,University of New Mexico
916136,University of Michigan
529545,-
522999,-
240239,University of Wisconsin-Madison
190097,Tufts University
669887,-
309087,Cornell University
234928,Northwestern University
412272,-
367045,Seoul National University
18950,Bocconi University
592597,Harvard Business School
373200,-
849417,University of Illinois Urbana-Champaign
593945,London School of Economics and Political Science
446372,-
954117,UCLA Extension
203332,-
898055,-
437289,Texas A&M University
52135,Northwestern University
59037,"University of California, Los Angeles"
383252,-
158964,Northwestern University
773306,Harvard University
70979,-
760856,Yale University
900713,New York University - Leonard N. Stern School of Business
9560,-
695145,University of Pennsylvania
359321,University of Minnesota
993277,The University of Chicago Booth School of Business
923683,Princeton University
783255,-
793390,New York University
467438,The London School of Economics and Political Science (LSE)
296259,University of Illinois Urbana-Champaign
304898,Harvard University
983480,Princeton University
66289,-
326672,New York University
4046,University of North Carolina at Chapel Hill
947906,Georgetown University
988195,University of Virginia
46299,-
643904,University of North Carolina
818109,Yale University
639988,-
450110,-
744541,-
407317,Massachusetts Institute of Technology
244729,Northwestern University
837239,The Johns Hopkins University
294111,"University of California, Berkeley"
854832,-
905183,University of Southern California
575413,UC Berkeley
222026,Brown University
827932,Columbia University in the City of New York
641396,The University of Georgia
944639,-
791541,Renmin University of China
547490,-
722245,"Baruch College, City University of New York"
151042,UCLA Anderson School of Management
556211,"Harvard University, John F. Kennedy School of Government"
599995,-
343957,-
789702,Stanford University
777142,Princeton University
970522,Saint Louis University
291541,Stockholm School of Economics
978734,Harvard Business School
348497,University of São Paulo
297396,Harvard University
112248,Massachusetts Institute of Technology
572489,Concordia University
607318,New York University School of Law
943254,University of California San Diego
87347,Columbia University in the City of New York
159148,-
850072,-
168668,University of Pennsylvania
837334,Princeton University
650004,The London School of Economics and Political Science (LSE)
102302,-
177691,"University of California, Berkeley"
508162,-
650533,Cornell University
492566,-
669881,University of Notre Dame
655002,University of Arizona
888117,University of Maryland
765153,"University of California, Berkeley"
200413,Brown University
780055,Stanford University
838943,-
495644,"St Xaviers College, Bangalore"
305809,-
863817,The Johns Hopkins University
310390,National University of Singapore
848929,Boston University
220047,-
315869,-
922487,University of Illinois Urbana-Champaign
120019,Columbia University in the City of New York
550131,"University of California, San Diego"
331409,Harvard University
231702,New York University
596898,-
469702,-
448708,Cornell University
764205,London School of Economics and Political Science
566865,-
901937,-
266772,-
500024,Harvard University
124762,University of Tokyo
104088,Northwestern University - Kellogg School of Management
289104,-
785702,"The Graduate Center, City University of New York"
16742,"University of California, Berkeley"
807657,-
19794,Washington University in St. Louis
756696,Arizona State University
441348,-
219839,-
333297,Arizona State University - W. P. Carey School of Business
445460,-
130489,Duke University
246722,-
701691,MIT Sloan School of Management
701941,Columbia University in the City of New York
360077,-
315373,-
471145,Duke University
841159,Universitat Pompeu Fabra - Barcelona
438013,California Institute of Technology
921597,-
305591,Stanford University
456103,Columbia University in the City of New York
225913,Harvard University
269248,-
517533,-
618829,Duke University
338737,The London School of Economics and Political Science (LSE)
437691,University of Minnesota-Twin Cities
658647,"University of California, Los Angeles"
118137,University of Cambridge
134142,Yale University
323938,Harvard University
569379,-
391381,University of Minnesota
48131,-
838482,Chongqing University
869060,The University of Manchester
171359,University of Michigan
961122,-
287718,Northwestern University
529800,University of Maryland
840723,Arizona State University
654857,European University Institute
64560,-
565609,-
381789,-
968825,Penn State University
206746,-
425703,-
765314,University of Michigan
107408,-
135370,-
983745,Northwestern University
208327,-
327438,University of Minnesota-Twin Cities
117511,Delhi School of Economics
605651,"University of California, Los Angeles"
365596,Columbia Business School
418609,Simon Fraser University
